Letalidad,Country,Country sp,Total,Dengue,Dengue Grave,Fips,ISO3166Alpha2,ISO3166Alpha3,Code,Muertes,PAHO Code Num,PAHO Code,RegionLvl0,RegionLvl1,RegionLvl2,RegionLvl3,Region,TIS,Tipo,W Pais,Year
,Brazil,Brasil,0,0,0,BR,BR,BRA,76,0,430,BRA,AMR,LAC,SAR,LAM,BRA,BRA,Final,BRA,1980
,Brazil,Brasil,0,0,0,BR,BR,BRA,76,0,430,BRA,AMR,LAC,SAR,LAM,BRA,BRA,Final,BRA,1981
0,Brazil,Brasil,12000,12000,0,BR,BR,BRA,76,0,430,BRA,AMR,LAC,SAR,LAM,BRA,BRA,Final,BRA,1982
,Brazil,Brasil,0,0,0,BR,BR,BRA,76,0,430,BRA,AMR,LAC,SAR,LAM,BRA,BRA,Final,BRA,1983
,Brazil,Brasil,0,0,0,BR,BR,BRA,76,0,430,BRA,AMR,LAC,SAR,LAM,BRA,BRA,Final,BRA,1984
,Brazil,Brasil,0,0,0,BR,BR,BRA,76,0,430,BRA,AMR,LAC,SAR,LAM,BRA,BRA,Final,BRA,1985
0.006333523,Brazil,Brasil,47367,47364,3,BR,BR,BRA,76,3,430,BRA,AMR,LAC,SAR,LAM,BRA,BRA,Final,BRA,1986
0.001118656,Brazil,Brasil,89393,89392,1,BR,BR,BRA,76,1,430,BRA,AMR,LAC,SAR,LAM,BRA,BRA,Final,BRA,1987
0,Brazil,Brasil,190,190,0,BR,BR,BRA,76,0,430,BRA,AMR,LAC,SAR,LAM,BRA,BRA,Final,BRA,1988
0,Brazil,Brasil,5334,5334,0,BR,BR,BRA,76,0,430,BRA,AMR,LAC,SAR,LAM,BRA,BRA,Final,BRA,1989
0.019684071,Brazil,Brasil,40642,40368,274,BR,BR,BRA,76,8,430,BRA,AMR,LAC,SAR,LAM,BRA,BRA,Final,BRA,1990
0,Brazil,Brasil,97209,97021,188,BR,BR,BRA,76,0,430,BRA,AMR,LAC,SAR,LAM,BRA,BRA,Final,BRA,1991
0,Brazil,Brasil,3501,3501,0,BR,BR,BRA,76,0,430,BRA,AMR,LAC,SAR,LAM,BRA,BRA,Final,BRA,1992
0,Brazil,Brasil,6915,6915,0,BR,BR,BRA,76,0,430,BRA,AMR,LAC,SAR,LAM,BRA,BRA,Final,BRA,1993
0.020200907,Brazil,Brasil,54453,54453,0,BR,BR,BRA,76,11,430,BRA,AMR,LAC,SAR,LAM,BRA,BRA,Final,BRA,1994
0.001602885,Brazil,Brasil,124775,124663,112,BR,BR,BRA,76,2,430,BRA,AMR,LAC,SAR,LAM,BRA,BRA,Final,BRA,1995
0.000568993,Brazil,Brasil,175749,175680,69,BR,BR,BRA,76,1,430,BRA,AMR,LAC,SAR,LAM,BRA,BRA,Final,BRA,1996
0.001967931,Brazil,Brasil,254074,254039,35,BR,BR,BRA,76,5,430,BRA,AMR,LAC,SAR,LAM,BRA,BRA,Final,BRA,1997
0.001868171,Brazil,Brasil,535283,535178,105,BR,BR,BRA,76,10,430,BRA,AMR,LAC,SAR,LAM,BRA,BRA,Final,BRA,1998
0.001469644,Brazil,Brasil,204131,204061,70,BR,BR,BRA,76,3,430,BRA,AMR,LAC,SAR,LAM,BRA,BRA,Final,BRA,1999
0.001296389,Brazil,Brasil,231412,231353,59,BR,BR,BRA,76,3,430,BRA,AMR,LAC,SAR,LAM,BRA,BRA,Final,BRA,2000
0.007032212,Brazil,Brasil,412388,411709,679,BR,BR,BRA,76,29,430,BRA,AMR,LAC,SAR,LAM,BRA,BRA,Final,BRA,2001
0.018636646,Brazil,Brasil,778037,775430,2607,BR,BR,BRA,76,145,430,BRA,AMR,LAC,SAR,LAM,BRA,BRA,Final,BRA,2002
0.011137522,Brazil,Brasil,341189,340476,713,BR,BR,BRA,76,38,430,BRA,AMR,LAC,SAR,LAM,BRA,BRA,Final,BRA,2003
0.002658373,Brazil,Brasil,112851,112774,77,BR,BR,BRA,76,3,430,BRA,AMR,LAC,SAR,LAM,BRA,BRA,Final,BRA,2004
0.021145184,Brazil,Brasil,203356,202923,433,BR,BR,BRA,76,43,430,BRA,AMR,LAC,SAR,LAM,BRA,BRA,Final,BRA,2005
0.019368528,Brazil,Brasil,345922,345294,628,BR,BR,BRA,76,67,430,BRA,AMR,LAC,SAR,LAM,BRA,BRA,Final,BRA,2006
0.028294470,Brazil,Brasil,558413,556872,1541,BR,BR,BRA,76,158,430,BRA,AMR,LAC,SAR,LAM,BRA,BRA,Final,BRA,2007
0.029264508,Brazil,Brasil,724427,714470,9957,BR,BR,BRA,76,212,430,BRA,AMR,LAC,SAR,LAM,BRA,BRA,Final,BRA,2008
0.057235048,Brazil,Brasil,520660,512437,8223,BR,BR,BRA,76,298,430,BRA,AMR,LAC,SAR,LAM,BRA,BRA,Final,BRA,2009
0.065985487,Brazil,Brasil,994158,976669,17489,BR,BR,BRA,76,656,430,BRA,AMR,LAC,SAR,LAM,BRA,BRA,Final,BRA,2010
0.063969252,Brazil,Brasil,753487,742942,10545,BR,BR,BRA,76,482,430,BRA,AMR,LAC,SAR,LAM,BRA,BRA,Final,BRA,2011
0.047535359,Brazil,Brasil,597450,593093,4357,BR,BR,BRA,76,284,430,BRA,AMR,LAC,SAR,LAM,BRA,BRA,Final,BRA,2012
0.036983127,Brazil,Brasil,1473645,1466638,7007,BR,BR,BRA,76,545,430,BRA,AMR,LAC,SAR,LAM,BRA,BRA,Final,BRA,2013
0.052766471,Brazil,Brasil,252054,251676,378,BR,BR,BRA,76,133,430,BRA,AMR,LAC,SAR,LAM,BRA,BRA,Preliminar,BRA,2017
0.056994337,Brazil,Brasil,247393,247100,293,BR,BR,BRA,76,141,430,BRA,AMR,LAC,SAR,LAM,BRA,BRA,Preliminar,BRA,2018
0.042784740,Brazil,Brasil,1500535,1499674,861,BR,BR,BRA,76,642,430,BRA,AMR,LAC,SAR,LAM,BRA,BRA,Preliminar,BRA,2016
0.069364553,Brazil,Brasil,591080,590391,689,BR,BR,BRA,76,410,430,BRA,AMR,LAC,SAR,LAM,BRA,BRA,Preliminar,BRA,2014
0.052334494,Brazil,Brasil,1649008,1647439,1569,BR,BR,BRA,76,863,430,BRA,AMR,LAC,SAR,LAM,BRA,BRA,final,BRA,2015
