Letalidad,Country,Country sp,Total,Dengue,Dengue Grave,Fips,ISO3166Alpha2,ISO3166Alpha3,Code,Muertes,PAHO Code Num,PAHO Code,RegionLvl0,RegionLvl1,RegionLvl2,RegionLvl3,Region,TIS,Tipo,W Pais,Year
0,United States of America,Estados Unidos de América,63,63,0,US,US,USA,840,0,480,USA,AMR,NAR,NAR,NAR,NAR,USA,Final,USA,1980
,United States of America,Estados Unidos de América,0,0,0,US,US,USA,840,0,480,USA,AMR,NAR,NAR,NAR,NAR,USA,Final,USA,1981
,United States of America,Estados Unidos de América,0,0,0,US,US,USA,840,0,480,USA,AMR,NAR,NAR,NAR,NAR,USA,Final,USA,1982
,United States of America,Estados Unidos de América,0,0,0,US,US,USA,840,0,480,USA,AMR,NAR,NAR,NAR,NAR,USA,Final,USA,1983
,United States of America,Estados Unidos de América,0,0,0,US,US,USA,840,0,480,USA,AMR,NAR,NAR,NAR,NAR,USA,Final,USA,1984
,United States of America,Estados Unidos de América,0,0,0,US,US,USA,840,0,480,USA,AMR,NAR,NAR,NAR,NAR,USA,Final,USA,1985
0,United States of America,Estados Unidos de América,14,14,0,US,US,USA,840,0,480,USA,AMR,NAR,NAR,NAR,NAR,USA,Final,USA,1986
,United States of America,Estados Unidos de América,0,0,0,US,US,USA,840,0,480,USA,AMR,NAR,NAR,NAR,NAR,USA,Final,USA,1987
,United States of America,Estados Unidos de América,0,0,0,US,US,USA,840,0,480,USA,AMR,NAR,NAR,NAR,NAR,USA,Final,USA,1988
,United States of America,Estados Unidos de América,0,0,0,US,US,USA,840,0,480,USA,AMR,NAR,NAR,NAR,NAR,USA,Final,USA,1989
,United States of America,Estados Unidos de América,0,0,0,US,US,USA,840,0,480,USA,AMR,NAR,NAR,NAR,NAR,USA,Final,USA,1990
,United States of America,Estados Unidos de América,0,0,0,US,US,USA,840,0,480,USA,AMR,NAR,NAR,NAR,NAR,USA,Final,USA,1991
,United States of America,Estados Unidos de América,0,0,0,US,US,USA,840,0,480,USA,AMR,NAR,NAR,NAR,NAR,USA,Final,USA,1992
,United States of America,Estados Unidos de América,0,0,0,US,US,USA,840,0,480,USA,AMR,NAR,NAR,NAR,NAR,USA,Final,USA,1993
,United States of America,Estados Unidos de América,0,0,0,US,US,USA,840,0,480,USA,AMR,NAR,NAR,NAR,NAR,USA,Final,USA,1994
0,United States of America,Estados Unidos de América,7,7,0,US,US,USA,840,0,480,USA,AMR,NAR,NAR,NAR,NAR,USA,Final,USA,1995
,United States of America,Estados Unidos de América,0,0,0,US,US,USA,840,0,480,USA,AMR,NAR,NAR,NAR,NAR,USA,Final,USA,1996
